Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,DTSXDataLoader.Console\DTSXDataLoader.Console.csproj,File,DTSXDataLoader.Console\DTSXDataLoader.Console.csproj,,,Microsoft.Extensions.Configuration 8.0.0,,,,,"Microsoft.Extensions.Configuration, 8.0.0  Recommendation:  Remove Microsoft.Extensions.Configuration, and replace with new package Microsoft.Extensions.Configuration 10.0.10"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,DTSXDataLoader.Console\DTSXDataLoader.Console.csproj,File,DTSXDataLoader.Console\DTSXDataLoader.Console.csproj,,,Microsoft.Extensions.Configuration.Binder 8.0.2,,,,,"Microsoft.Extensions.Configuration.Binder, 8.0.2  Recommendation:  Remove Microsoft.Extensions.Configuration.Binder, and replace with new package Microsoft.Extensions.Configuration.Binder 10.0.10"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,DTSXDataLoader.Console\DTSXDataLoader.Console.csproj,File,DTSXDataLoader.Console\DTSXDataLoader.Console.csproj,,,Microsoft.Extensions.Configuration.CommandLine 8.0.0,,,,,"Microsoft.Extensions.Configuration.CommandLine, 8.0.0  Recommendation:  Remove Microsoft.Extensions.Configuration.CommandLine, and replace with new package Microsoft.Extensions.Configuration.CommandLine 10.0.10"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,DTSXDataLoader.Console\DTSXDataLoader.Console.csproj,File,DTSXDataLoader.Console\DTSXDataLoader.Console.csproj,,,Microsoft.Extensions.Configuration.EnvironmentVariables 8.0.0,,,,,"Microsoft.Extensions.Configuration.EnvironmentVariables, 8.0.0  Recommendation:  Remove Microsoft.Extensions.Configuration.EnvironmentVariables, and replace with new package Microsoft.Extensions.Configuration.EnvironmentVariables 10.0.10"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,DTSXDataLoader.Console\DTSXDataLoader.Console.csproj,File,DTSXDataLoader.Console\DTSXDataLoader.Console.csproj,,,Microsoft.Extensions.Configuration.Json 8.0.0,,,,,"Microsoft.Extensions.Configuration.Json, 8.0.0  Recommendation:  Remove Microsoft.Extensions.Configuration.Json, and replace with new package Microsoft.Extensions.Configuration.Json 10.0.10"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,DTSXDataLoader.Console\DTSXDataLoader.Console.csproj,File,DTSXDataLoader.Console\DTSXDataLoader.Console.csproj,,,Microsoft.Extensions.DependencyInjection 8.0.0,,,,,"Microsoft.Extensions.DependencyInjection, 8.0.0  Recommendation:  Remove Microsoft.Extensions.DependencyInjection, and replace with new package Microsoft.Extensions.DependencyInjection 10.0.10"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,DTSXDataLoader.Console\DTSXDataLoader.Console.csproj,File,DTSXDataLoader.Console\DTSXDataLoader.Console.csproj,,,Microsoft.Extensions.Logging.Console 8.0.0,,,,,"Microsoft.Extensions.Logging.Console, 8.0.0  Recommendation:  Remove Microsoft.Extensions.Logging.Console, and replace with new package Microsoft.Extensions.Logging.Console 10.0.10"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,DTSXDataLoader.Console\DTSXDataLoader.Console.csproj,File,DTSXDataLoader.Console\DTSXDataLoader.Console.csproj,,,Newtonsoft.Json 13.0.3,,,,,"Newtonsoft.Json, 13.0.3  Recommendation:  Remove Newtonsoft.Json, and replace with new package Newtonsoft.Json 13.0.4"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,DTSXDataLoader.Console\DTSXDataLoader.Console.csproj,File,DTSXDataLoader.Console\DTSXDataLoader.Console.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DTSXDataLoader.Console\DTSXDataLoader.Console.csproj,File,DTSXDataLoader.Console\Program.cs,241,28,M:Microsoft.Extensions.Configuration.ConfigurationBinder.Get``1(Microsoft.Extensions.Configuration.IConfiguration),,,,,"xpaths = configuration.GetSection(""ScanElements"").Get<List<string>>();"
